"event_player_1_name","weighted_win_percentage","total_weighted","win_percentage","total_faceoffs","importance_factor"
"Calle Jarnkrok",47.6393442622951,305,49.6551724137931,145,2.10344827586207
"Nic Dowd",47.5893635571055,2294.00000000001,48.1515711645102,1082,2.12014787430684
"Zemgus Girgensons",47.5855374909003,412.1,47.7157360406091,197,2.09187817258883
"Alex Kerfoot",47.489666574814,1814.5,47.7958236658933,862,2.10498839907193
"Matty Beniers",47.4135265273667,2263.7,47.4347434743474,1111,2.03753375337534
"Evander Kane",47.3684210526316,174.8,46.0674157303371,89,1.96404494382022
"Alex Newhook",47.1614399515983,991.699999999999,46.5447154471545,492,2.01565040650406
"Morgan Barron",47.1335128895729,259.9,46.2686567164179,134,1.93955223880597
"Ryan Hartman",47.1276464033676,1615.4,46.9620253164557,790,2.04481012658228
"Jared McCann",47.0862846104314,621.2,47.8827361563518,307,2.02345276872964
"Casey Mittelstadt",46.9611100254055,2558.5,46.7716535433071,1270,2.01456692913386
"Dominic Toninato",46.9500924214418,216.4,47.7064220183486,109,1.98532110091743
"Dakota Joshua",46.9287469287469,162.8,47.5,80,2.035
"Tim Stützle",46.9183281044429,988.1,46.6796875,512,1.9298828125
"Ryan Nugent-Hopkins",46.8641403276518,1208.6,46.9594594594595,592,2.04155405405405
"Andreas Athanasiou",46.839174582378,305.3,46.3414634146341,164,1.86158536585366
"Mikael Granlund",46.8148498462994,2114.5,46.8186134852802,1053,2.00807217473884
"Blake Lizotte",46.8122153763729,746.599999999999,47.0437017994859,389,1.91928020565552
"Teuvo Teravainen",46.6559485530547,311,46.9798657718121,149,2.08724832214765
"Ryan Carpenter",46.6096698113207,1017.6,47.8260869565217,506,2.01106719367589
"Sam Bennett",46.5490998792841,1905.3,46.1059190031153,963,1.9785046728972
"Kyle Okposo",46.5487929275757,588.2,47.2413793103448,290,2.02827586206896
"Steven Lorentz",46.4964834592342,383.9,46.7661691542289,201,1.90995024875622
"Nathan MacKinnon",46.392523364486,2942.5,46.1283917935142,1511,1.94738583719391
"Tye Kartye",46.3226571767497,168.6,47.1264367816092,87,1.93793103448276
"Kevin Rooney",46.2555066079295,408.6,46.6346153846154,208,1.96442307692308
"Sam Steel",46.2104734816798,597.7,45.6953642384106,302,1.97913907284768
"Alex Wennberg",46.1524650795361,2784.90000000001,46.043707611153,1327,2.09864355689526
"Nicolas Roy",46.0638108252629,1683.1,45.89774078478,841,2.0013079667063
"Peyton Krebs",46.002632011844,1215.8,46.2540716612378,614,1.98013029315961
